movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;rel_inc;abs_inc
a-clockwork-orange;10;Mcc123;/user/Mcc123;May 17, 2012;"[ ""My favorite movie of all time. It asks what i think is one the most important question of them all. Does society need to be changed before it gets out of control? And a clockwork orange answers that with an enthusiastic no. Their may be people in this world that are complete sociopaths, but they shouldn't be forced to be good. We deserve to make our own choices, and if we do wrong, then we suffer the consequences accordingly. Alex suffers, but he shouldn't be brainwashed into being something he's not. If we want to be good and grow as a society, we must make that choice ourselves. This movie is called \""controversial\"" but all that means to me is that it has a very important lesson to teach us, and it does."" ]";0.0;0.0;0.0;0.0;inf;10
fight-club;10;Mcc123;/user/Mcc123;Jun  1, 2012;"[ ""This is my favorite type of film. Its one that challenges you to look at things differently, and it does so with a satiric,  yet brutal tone. Watching it for the first time, it wont go over well for you or anybody for that matter. Though, watch it a second time, and again and again.Then you will realize that everything it is telling you is true."" ]";6.0;7.0;6.0;1.0;inf;10
the-avengers-2012;10;Mcc123;/user/Mcc123;May 25, 2012;[];0.0;0.0;0.0;0.0;inf;10
garfield-a-tail-of-two-kitties;10;psyprbsfan1;/user/psyprbsfan1;Feb  6, 2013;[];1.0;2.0;1.0;1.0;inf;10
pandorum;10;MetaCryptic;/user/MetaCryptic;Mar 27, 2014;"[ ""I am deliberately against the critics on this one."", """", ""Pandorum  isnt suppose to be an action sci fi flick, its not a generic starwars clone"", ""and it is defiantly not a AvP ripp off. It isnt suppose to be, This movie is more of a mystery suspense with a mint of tragedy. Tragedy why? The story telling of the characters gives you an impression that the whole universe is dead, the stars are gone and all life  along.All that is left are these mutant like beast theat have evolved from corrupted humans that have suffered from the disease \""pandorum\"""", ""The ship had failled to reach its destination and is now in an empty void in space. But as it turned out, they hacve been in the planet all along underwater."", """", ""amazing ending!!!!"" ]";1.0;1.0;1.0;0.0;inf;10
where-the-wild-things-are;10;MetaCryptic;/user/MetaCryptic;May 13, 2014;[];0.0;0.0;0.0;0.0;inf;10
prometheus;9;KingYP;/user/KingYP;Jul 11, 2012;"[ ""Prometheus, unlike what many say, is insanely awesome (especially in the effects department). It was one of the most 'fun' movies of this year so far to watch and is aesthetically pleasing in almost every aspect. Too add to that, Michael Fassbender kicked ass in the movie and whenever he was on screen the movie was always that much better. I recommend watching it as well as ignoring the mixed reviews about the movie because it willl be a fun and entertaining experience (plus its much better then spending your money on watching the amazing spiderman)."" ]";3.0;7.0;3.0;4.0;inf;9
world-war-z;9;Smee;/user/Smee;Jul  5, 2013;[];2.0;4.0;2.0;2.0;inf;9
thor-the-dark-world;9;Smee;/user/Smee;Dec 19, 2013;"[ ""After disappointing iron man 3 and terrible wolverine i didn't expect much from franchiser  but gladly thor proved me wrong.Movie is funny and had a good story and amazing 3D effects.Acting is up to the standard and film really  build the momentum to Avengers 2.They present big lie in a scientific way so  its almost felt like real. kat dennings look so pretty and so funny."" ]";0.0;2.0;0.0;2.0;inf;9
the-girl-with-the-dragon-tattoo-2011;9;Mcc123;/user/Mcc123;May 16, 2012;"[ ""One of david fincher's best films. Sure, at first it starts out kinda slow, but it speeds up. And once it does, it's like a punch right in the gut. Its brutal, intruiging, and captivating all at the same time. The best crime thriller i have ever seen."" ]";0.0;0.0;0.0;0.0;inf;9
the-dark-knight-rises;8;KingYP;/user/KingYP;Jul 24, 2012;"[ ""The Dark Knight Rises is definetly a fun movie to watch especially if you're into superheros for like The Dark Knight, it brings a different sense of what being a superhero really is to the table. Yes it is a good movie with some interesting fight scenes and chase scenes as well as many new twists and tales however I dont think that Nolan did as well as this movie as he did with The Dark Knight. For one thin there were a bit too many characters as well as too many parts of the story that were either not needed or were not understood. I do like however how Nolan tried to add more Bruce Wayne to the movie rather then Batman, and even though many did not like this, it made me really appreciate Batman himself when he was on screen rather then liking the villains more (which I did in The Dark Knight). Admittedly Bane is a badass and Catwomen kept all the mens attention to the screen (especially when she did them fancy tricks with her tight suit). I also like how Nolan introduced Robin to the movie, as well as add his little twist regarding Talia at the end. Overall this is definetly a fun movie however, dont get your hopes too high for it is sadly not as good as The Dark Knight."" ]";1.0;4.0;1.0;3.0;inf;8
fast-furious-6;8;Smee;/user/Smee;Jun 15, 2013;"[ ""A movie is well written except the scenes where Vin diesel took a bullet and patch  him self up and Air craft runs on strip more than 20 minutes and and travel many miles even Area 51 air strip won''t be enough.Apart  from that exiting effects and awesome action."" ]";0.0;0.0;0.0;0.0;inf;8
olympus-has-fallen;8;Smee;/user/Smee;Jun 29, 2013;"[ ""its a good action movie with advanced gun fights and well written script.they were some loop holes such as even after Bulter resigned from secret service his access were not removed.Fight scenes and acting is quite professional.Certainly worth the money and time i spend.End is bit an american propaganda but its an Hollywood movie so deal with it."" ]";0.0;2.0;0.0;2.0;inf;8
mama;8;Smee;/user/Smee;Apr 26, 2013;[];2.0;2.0;2.0;0.0;inf;8
grindhouse;8;Mcc123;/user/Mcc123;May 18, 2012;[];0.0;0.0;0.0;0.0;inf;8
easy-a;8;Mcc123;/user/Mcc123;May 31, 2012;"[ ""An overall smart, witty, and very satisfying teen comedy in all respects. They don't make them like this anymore. You may automatically think of this movie as a \""chick flick\"", but i believe its a movie that will speak to all teenagers and adults. Male and female alike."" ]";0.0;0.0;0.0;0.0;inf;8
godzilla-2014;7;Smee;/user/Smee;Jun 13, 2014;"[ ""First  20 minutes film looks so promising and soon after MUTO and US military involved,film gets boring .MUTO's visual effects below to the modern standards.All changes when godzilla came in last hour and film  finds it's plot again .I agree with most comments its not enough godzilla and acting is bit bad ,but godzilla creature is worth watching."" ]";0.0;1.0;0.0;1.0;inf;7
last-stand;7;Smee;/user/Smee;Apr 25, 2013;"[ ""Its a good pop corn movie and Arnold is always best. Supporting actors bit lame but anyway its a quite watchable movie.Last wrestling fight was quite amazing and so real."" ]";0.0;0.0;0.0;0.0;inf;7
oz-the-great-and-powerful;7;Smee;/user/Smee;Apr 20, 2013;[];0.0;0.0;0.0;0.0;inf;7
oblivion;7;Smee;/user/Smee;Jul 28, 2013;"[ ""First hour is extremely boring and once you closed to last 15 minutes movie becomes so interesting and quite please to watch.This is a classic Sci Fi movie without adding any commercial elements to attract all kind of crowed.Writers and Actors justify what we payed for."" ]";0.0;1.0;0.0;1.0;inf;7
a-case-of-you;7;Smee;/user/Smee;Feb  9, 2014;[];0.0;0.0;0.0;0.0;inf;7
avatar;7;MetaCryptic;/user/MetaCryptic;May 13, 2014;"[ ""Avatar takes it away with its beautifully well done cinema and sfx, but i kinda agree with the critics the story wasn't strong enough to live up to its magnitude. The part before the ending was kinda stupid because it didn't give much detail on how all the humans on Pandora were dealt with.But i did like how jake Silly got a new functional Avatar body, Permanently. This opens windows for potential sequel and hopefully a more heart gripping story with twist and confusion, because i felt that this one was lacking on those."", """", ""Also this movie felt more on the scifi side than the fantasy wich made incredibly boring and generic"", """", ""Nevertheless , amazing movie, Cant wait for that long awaited sequel"" ]";0.0;1.0;0.0;1.0;inf;7
47-ronin;6;Smee;/user/Smee;Feb  9, 2014;[];0.0;1.0;0.0;1.0;inf;6
spider-man-3;6;Chris_DK;/user/Chris_DK;Jul  9, 2012;"[ ""Personally I think Spider-Man 3 wraps up everything nicely. It is a great movie to end the Raimi series of Spider-Man with New Goblin, Venom and Sandman. The script and storyline is good, though the movie is not as good as it's predecessors due to the amount of villains the movie is trying to handle and the bloopers. The ending was also a misfire, I expected more from it, perhaps a speech from Peter about his life as Spider-Man."" ]";0.0;0.0;0.0;0.0;inf;6
tron-legacy;6;MetaCryptic;/user/MetaCryptic;May 13, 2014;"[ ""This movie could of had so much potential, so much to show, so much to explore...but came in short."", """", ""This movie could of done better had we been brought closer to the digital society, ive felt like we didn't see enough outside of the arena. for that i was kinda disappointing."", """", ""BUT DAMM did that Sound Track Did it for me. So far the only thing that was done right out from the movie. Disney made the right decision on hiring Daft Punk to develop the Tron Legacy Sound Track, who else but Daft Punk...Genius."" ]";0.0;0.0;0.0;0.0;inf;6
frozen-2013;5;Smee;/user/Smee;Jan  3, 2014;[];2.0;11.0;2.0;9.0;inf;5
the-place-beyond-the-pines;5;Smee;/user/Smee;Jun 15, 2013;[];1.0;2.0;1.0;1.0;inf;5
safe-haven;5;Smee;/user/Smee;Apr 27, 2013;[];0.0;0.0;0.0;0.0;inf;5
jack-reacher;5;Smee;/user/Smee;Apr 25, 2013;[];0.0;0.0;0.0;0.0;inf;5
2-guns;4;Smee;/user/Smee;Nov  8, 2013;"[ ""Movie is let down by script.clearly script was writers has no idea about DEA ,CIA or how drug lords operate.Its like someone who never seen sea write a poem about sea.Acting is all right and action scenes also quite good and reliable.Movie had the potential to be a good movie but witters made the mess of it."" ]";0.0;0.0;0.0;0.0;inf;4
man-of-steel;4;Smee;/user/Smee;Jun 29, 2013;"[ ""Apart from the impressive  effects really nothing to watch in this movie .First half is more like a documentary that totally mismatch to comic book. Christopher Nolan is always poor and he did great part of ruining the superman as well.Its so stupid that miss Lane appears right after superman kill the General Because before that they were fighting and moved away from her in    a lightning speed.I believe Super man returns is far more better movie than this.Also absence of defense  Secretary and President is a mistake,Writers were assumed that target  audience is brain dead and that a kind of mock to their awareness."" ]";1.0;8.0;1.0;7.0;inf;4
bridesmaids;3;Smee;/user/Smee;Nov 30, 2013;[];0.0;1.0;0.0;1.0;inf;3
a-good-day-to-die-hard;3;DCM-2099;/user/DCM-2099;Feb 17, 2013;"[ ""Unfortunately worse than it's prequel, this iteration of the Die Hard series just serves to show how far the series has fallen. Courtney was a surprise, in not being as bad as expected, but the rest of the movie was nonsensical to the extreme and badly acted. The story was passable at best (save perhaps for a twist round the middle of the movie, which is disappointingly resolved) and the action pieces were over-the-top when they should have been subtle and slow when they should have been over-the-top. All-in-all, I felt like I would have felt better about the franchise not having seen this last entry."" ]";1.0;1.0;1.0;0.0;inf;3
noah;3;MetaCryptic;/user/MetaCryptic;Apr  7, 2014;"[ ""They ignored every little bit pof personality the original bible lore had and turned into an action oriented bull **** This movie could of gone much better had they stuck with the spiritual interpretation of the original."", """", ""But then again what could you expect  knowing this was directed by an Atheist, those who take anything about the bible LITTERALY, when it should actualy be interpreted. But at least he tried."" ]";3.0;9.0;3.0;6.0;inf;3
the-heat;1;Smee;/user/Smee;Oct  5, 2013;[];1.0;2.0;1.0;1.0;inf;1
boyhood;10;disorriso;/user/disorriso;Sep 13, 2014;"[ ""This is, right there, a top 5 movie in my opinion. It express from the normal issues to the most delicate of them and it feels good to watch. I just can't believe how ingenious the creator is, I mean this is history of art being made just in front of us. I belive my point is that I want to thank you all who have participated in the creation of this masterpiece, this kind of thing that keeps me believing in humankind."" ]";2.0;6.0;2.0;4.0;10.0;9
star-wars-episode-v---the-empire-strikes-back;10;spydie777;/user/spydie777;Oct 26, 2012;[];3.0;4.0;3.0;1.0;10.0;9
grudge-match;10;MB_;/user/MB_;Apr  3, 2014;"[ ""I came in not expecting too much but was very happy with the film."", """", ""Yes there were a few throwaway tribute gags to the old boxing films and by half way through things get a little predictable. But I can enjoy the virtues of the film."", """", ""The problem with modern films to me is that characters do things that don't make sense and just act to move the film forward, this incongruence is glaring but in this case each character was actually acting in character."", """", ""Not really a fan of DeNiro, his performances are usually that showy, he doesn't usually play an actual human being more panto villain. Stallone was his usual old self and didn't embarrass himself and everyone else in the case were great, Arkin didn't emulate Meredith at all which was a great choice and Hart was pretty amusing as the comedy relief."", """", ""The critic snobbery is of course no surprise, they hate anything with Stallone, this is fact. They could have written their reviews months ago, they are that predictable."", """", ""I'm giving it a ten because I liked the characters and script that's what I'm all about."" ]";1.0;1.0;1.0;0.0;10.0;9
kingsman-the-secret-service;10;MB_;/user/MB_;Feb 15, 2015;"[ ""Absolutely superb film, absolutely made up for the current run of staid and moronic Bond films and made me want to turn around and go back in for another viewing."", """", ""Everyone played it spot on, well Mark Strong's accent excluded, note perfect. The action was smart and poetically choreographed and you could actually see what was going on for a change."", """", ""The script was great, made plenty of sense, for once in a modern film I wasn't gritting my teeth at the illogic or plot holes."", """", ""In short smashing job everyone."" ]";2.0;3.0;2.0;1.0;10.0;9
